win_lose,wall_bounce,score,paddle_pos,x,y
35, 1, 4, 420, 9, 160
35, 1, 4, 30, 65, 6
35, 1, 4, 240, 472, 154
35, 0, 4, 180, 356, 473
36, 1, 4, 90, 480, 100
36, 1, 4, 270, 426, 10
36, 1, 4, 240, 6, 220
36, 0, 4, 420, 156, 470
37, 1, 4, 360, 472, 12
37, 1, 4, 330, 9, 202
37, 1, 4, 90, 45, 4
37, 1, 4, 150, 474, 82
37, 0, 4, 240, 402, 478
38, 1, 4, 120, 10, 129
38, 1, 4, 450, 70, 9
38, 1, 4, 90, 480, 214
38, 0, 4, 270, 350, 474
39, 1, 4, 300, 474, 62
39, 1, 4, 150, 432, 8
39, 1, 4, 450, 9, 337
39, 0, 4, 60, 114, 472
40, 1, 4, 150, 480, 124
40, 1, 4, 180, 420, 4
40, 1, 4, 390, 10, 209
40, 0, 4, 390, 140, 469
41, 1, 4, 450, 472, 12
41, 1, 4, 420, 472, 12
41, 1, 4, 270, 9, 202
41, 1, 4, 150, 45, 4
41, 1, 4, 90, 474, 82
41, 0, 4, 180, 402, 478
42, 1, 4, 240, 240, 244
42, 1, 4, 30, 471, 181
42, 1, 4, 450, 423, 5
42, 1, 4, 240, 5, 119
42, 0, 4, 240, 101, 471
43, 1, 4, 330, 360, 4
43, 1, 4, 30, 480, 64
43, 0, 4, 300, 275, 474
44, 1, 5, 210, 5, 339
44, 1, 5, 300, 170, 9
44, 1, 5, 360, 480, 164
44, 0, 5, 330, 325, 474
45, 1, 6, 390, 5, 314
45, 1, 6, 420, 160, 4
45, 1, 6, 420, 480, 164
45, 0, 6, 450, 325, 474
46, 1, 6, 420, 474, 62
46, 1, 6, 330, 432, 8
46, 1, 6, 270, 9, 337
46, 0, 6, 240, 114, 472
47, 1, 6, 270, 474, 62
47, 1, 6, 120, 432, 8
47, 1, 6, 420, 9, 337
47, 0, 6, 30, 114, 472
48, 1, 6, 60, 422, 10
48, 1, 6, 150, 476, 52
48, 0, 6, 270, 147, 475
49, 1, 6, 390, 10, 129
49, 1, 6, 60, 70, 9
49, 1, 6, 360, 480, 214
49, 0, 6, 180, 350, 474
50, 1, 6, 30, 174, 2
50, 1, 6, 360, 9, 47
50, 0, 6, 300, 126, 476
51, 1, 6, 240, 472, 12
51, 1, 6, 450, 471, 202
51, 1, 6, 90, 435, 4
51, 1, 6, 270, 6, 82
51, 0, 6, 360, 78, 478
52, 1, 6, 210, 174, 2
52, 1, 6, 360, 9, 47
52, 0, 6, 120, 126, 476
53, 1, 7, 180, 478, 380
53, 1, 7, 240, 376, 6
53, 1, 7, 330, 2, 108
53, 0, 7, 330, 101, 471
54, 1, 7, 300, 58, 10
54, 1, 7, 450, 4, 52
54, 0, 7, 90, 333, 475
55, 1, 7, 90, 10, 129
55, 1, 7, 300, 70, 9
55, 1, 7, 240, 480, 214
55, 0, 7, 420, 350, 474
56, 1, 7, 390, 360, 4
56, 1, 7, 210, 480, 64
56, 0, 7, 120, 275, 474
57, 1, 7, 30, 144, 4
57, 1, 7, 360, 4, 60
57, 0, 7, 270, 168, 470
58, 1, 7, 360, 360, 4
58, 1, 7, 60, 480, 64
58, 0, 7, 270, 275, 474
59, 1, 8, 180, 5, 339
59, 1, 8, 270, 170, 9
59, 1, 8, 330, 480, 164
59, 0, 8, 300, 325, 474
60, 1, 9, 360, 5, 314
60, 1, 9, 390, 160, 4
60, 1, 9, 450, 480, 164
60, 0, 9, 420, 325, 474
61, 1, 9, 420, 472, 12
61, 1, 9, 420, 474, 62
61, 1, 9, 330, 432, 8
61, 1, 9, 270, 9, 337
61, 0, 9, 240, 114, 472
62, 1, 9, 180, 472, 12
62, 1, 9, 360, 196, 2
62, 1, 9, 30, 9, 36
62, 0, 9, 300, 89, 476
63, 1, 9, 360, 240, 244
63, 1, 9, 390, 472, 12
63, 1, 9, 270, 360, 4
63, 1, 9, 330, 480, 64
63, 0, 9, 60, 275, 474
64, 1, 9, 180, 10, 129
64, 1, 9, 210, 70, 9
64, 1, 9, 330, 480, 214
64, 0, 9, 390, 350, 474
65, 1, 9, 210, 9, 202
65, 1, 9, 210, 45, 4
65, 1, 9, 30, 474, 82
65, 0, 9, 120, 402, 478
66, 1, 9, 90, 284, 2
66, 1, 9, 300, 471, 36
66, 0, 9, 330, 391, 476
67, 1, 9, 420, 306, 2
67, 1, 9, 150, 471, 47
67, 0, 9, 150, 354, 476
68, 1, 9, 120, 6, 62
68, 1, 9, 270, 48, 8
68, 1, 9, 90, 471, 337
68, 0, 9, 360, 366, 472
69, 1, 10, 240, 6, 192
69, 1, 10, 390, 146, 12
69, 1, 10, 270, 479, 271
69, 0, 10, 360, 325, 469
70, 1, 10, 180, 471, 181
70, 1, 10, 300, 423, 5
70, 1, 10, 90, 5, 119
70, 0, 10, 90, 101, 471
71, 1, 11, 210, 475, 369
71, 1, 11, 270, 376, 6
71, 1, 11, 360, 2, 108
71, 0, 11, 360, 101, 471
72, 1, 11, 180, 471, 202
72, 1, 11, 240, 435, 4
72, 1, 11, 60, 6, 82
72, 0, 11, 90, 78, 478
73, 0, 12, 120, 122, 470
74, 0, 13, 150, 130, 514
75, 0, 14, 180, 174, 506
76, 0, 15, 210, 182, 550
77, 0, 16, 240, 226, 542
78, 0, 17, 270, 234, 586
79, 1, 17, 90, 9, 181
79, 1, 17, 390, 57, 5
79, 1, 17, 180, 475, 119
79, 0, 17, 180, 379, 471
80, 1, 17, 120, 8, 12
80, 1, 17, 180, 422, 10
80, 1, 17, 30, 476, 52
80, 0, 17, 390, 147, 475
81, 1, 17, 420, 480, 100
81, 1, 17, 300, 426, 10
81, 1, 17, 150, 6, 262
81, 0, 17, 210, 132, 472
82, 1, 17, 300, 360, 4
82, 1, 17, 60, 480, 64
82, 0, 17, 330, 275, 474
83, 1, 17, 180, 328, 2
83, 1, 17, 420, 471, 54
83, 0, 17, 180, 319, 472
84, 1, 17, 270, 480, 124
84, 1, 17, 60, 420, 4
84, 1, 17, 390, 10, 209
84, 0, 17, 270, 140, 469
85, 1, 17, 330, 472, 12
85, 1, 17, 360, 8, 12
85, 1, 17, 150, 471, 160
85, 1, 17, 360, 415, 6
85, 1, 17, 150, 8, 154
85, 0, 17, 210, 124, 473
86, 1, 17, 240, 422, 10
86, 1, 17, 90, 476, 52
86, 0, 17, 450, 147, 475
87, 1, 17, 300, 174, 2
87, 1, 17, 270, 9, 47
87, 0, 17, 30, 126, 476
88, 1, 17, 210, 471, 181
88, 1, 17, 270, 423, 5
88, 1, 17, 420, 5, 119
88, 0, 17, 420, 101, 471
89, 1, 17, 300, 471, 181
89, 1, 17, 180, 423, 5
89, 1, 17, 90, 5, 119
89, 0, 17, 90, 101, 471
90, 1, 18, 210, 475, 369
90, 1, 18, 270, 376, 6
90, 1, 18, 360, 2, 108
90, 0, 18, 360, 101, 471
91, 1, 18, 240, 10, 106
91, 1, 18, 390, 70, 6
91, 1, 18, 60, 480, 211
91, 0, 18, 240, 350, 471
92, 1, 18, 270, 6, 62
92, 1, 18, 120, 48, 8
92, 1, 18, 420, 471, 337
92, 0, 18, 30, 366, 472
93, 1, 18, 120, 480, 124
93, 1, 18, 210, 420, 4
93, 1, 18, 360, 10, 209
93, 0, 18, 420, 140, 469
94, 1, 18, 420, 472, 12
94, 1, 18, 390, 240, 244
94, 1, 18, 450, 84, 10
94, 1, 18, 240, 12, 58
94, 0, 18, 300, 288, 472
95, 1, 19, 30, 477, 346
95, 1, 19, 270, 249, 4
95, 1, 19, 180, 6, 166
95, 0, 19, 270, 210, 472
96, 1, 19, 180, 384, 4
96, 1, 19, 390, 474, 49
96, 0, 19, 180, 264, 469
97, 1, 19, 300, 10, 106
97, 1, 19, 30, 70, 6
97, 1, 19, 360, 480, 211
97, 0, 19, 180, 350, 471
98, 1, 19, 30, 174, 2
98, 1, 19, 360, 9, 47
98, 0, 19, 300, 126, 476
99, 1, 19, 450, 196, 2
99, 1, 19, 120, 9, 36
99, 0, 19, 210, 89, 476
100, 1, 19, 60, 284, 2
100, 1, 19, 390, 471, 36
100, 0, 19, 240, 391, 476
101, 1, 19, 330, 96, 4
101, 1, 19, 120, 6, 49
101, 0, 19, 270, 258, 469
102, 1, 20, 30, 478, 337
102, 1, 20, 120, 280, 7
102, 1, 20, 30, 10, 142
102, 0, 20, 120, 208, 472
103, 1, 20, 90, 396, 10
103, 1, 20, 330, 477, 64
103, 0, 20, 150, 207, 469
104, 1, 20, 180, 6, 62
104, 1, 20, 30, 48, 8
104, 1, 20, 330, 471, 337
104, 0, 20, 120, 366, 472
105, 1, 20, 90, 174, 2
105, 1, 20, 300, 9, 47
105, 0, 20, 360, 126, 476
106, 1, 20, 300, 8, 12
106, 1, 20, 390, 9, 160
106, 1, 20, 120, 65, 6
106, 1, 20, 150, 472, 154
106, 0, 20, 90, 356, 473
107, 1, 20, 150, 471, 181
107, 1, 20, 330, 423, 5
107, 1, 20, 360, 5, 119
107, 0, 20, 360, 101, 471
108, 1, 20, 360, 9, 160
108, 1, 20, 150, 65, 6
108, 1, 20, 120, 472, 154
108, 0, 20, 60, 356, 473
109, 1, 20, 30, 474, 88
109, 1, 20, 240, 420, 7
109, 1, 20, 150, 6, 283
109, 0, 20, 450, 132, 472
110, 1, 20, 300, 328, 2
110, 1, 20, 300, 471, 54
110, 0, 20, 60, 319, 472
111, 1, 20, 210, 284, 2
111, 1, 20, 180, 471, 36
111, 0, 20, 450, 391, 476
112, 1, 20, 420, 396, 10
112, 1, 20, 240, 477, 64
112, 0, 20, 240, 207, 469
113, 1, 20, 60, 471, 181
113, 1, 20, 420, 423, 5
113, 1, 20, 210, 5, 119
113, 0, 20, 210, 101, 471
114, 1, 20, 240, 58, 10
114, 1, 20, 90, 4, 52
114, 0, 20, 450, 333, 475
115, 1, 20, 360, 120, 4
115, 1, 20, 270, 10, 59
115, 0, 20, 120, 215, 469
116, 1, 20, 180, 8, 12
116, 1, 20, 60, 306, 2
116, 1, 20, 330, 471, 47
116, 0, 20, 330, 354, 476
117, 1, 21, 390, 2, 380
117, 1, 21, 450, 104, 6
117, 1, 21, 360, 478, 108
117, 0, 21, 360, 379, 471
118, 1, 22, 420, 5, 369
118, 1, 22, 360, 104, 6
118, 1, 22, 270, 478, 108
118, 0, 22, 270, 379, 471
119, 1, 22, 360, 96, 4
119, 1, 22, 150, 6, 49
119, 0, 22, 240, 258, 469
120, 1, 23, 60, 478, 337
120, 1, 23, 90, 280, 7
120, 1, 23, 60, 10, 142
120, 0, 23, 90, 208, 472
121, 1, 23, 60, 96, 4
121, 1, 23, 210, 6, 58
121, 0, 23, 360, 258, 478
122, 1, 23, 420, 10, 106
122, 1, 23, 210, 70, 6
122, 1, 23, 180, 480, 252
122, 0, 23, 180, 348, 472
123, 1, 23, 360, 471, 202
123, 1, 23, 180, 435, 4
123, 1, 23, 360, 6, 82
123, 0, 23, 450, 78, 478
124, 1, 23, 300, 328, 2
124, 1, 23, 300, 471, 54
124, 0, 23, 60, 319, 472
125, 1, 23, 150, 480, 100
125, 1, 23, 90, 426, 10
125, 1, 23, 420, 6, 262
125, 0, 23, 180, 132, 472
126, 1, 23, 150, 6, 62
126, 1, 23, 300, 48, 8
126, 1, 23, 60, 471, 337
126, 0, 23, 390, 366, 472
127, 1, 24, 210, 6, 192
127, 1, 24, 420, 146, 12
127, 1, 24, 240, 479, 271
127, 0, 24, 390, 325, 469
128, 1, 24, 360, 58, 10
128, 1, 24, 390, 4, 52
128, 0, 24, 150, 333, 475
129, 1, 24, 60, 328, 2
129, 1, 24, 300, 471, 54
129, 0, 24, 360, 319, 472
130, 1, 24, 450, 120, 4
130, 1, 24, 180, 10, 59
130, 0, 24, 210, 215, 469
131, 1, 25, 90, 475, 339
131, 1, 25, 180, 310, 9
131, 1, 25, 210, 10, 159
131, 0, 25, 240, 165, 469
132, 1, 25, 90, 174, 2
132, 1, 25, 420, 9, 47
